日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成份券代码Constituent Code,成份券名称Constituent Name,成份券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng)
20260605,000852,中证1000,CSI 1000,000686,东北证券,Northeast Securities Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000688,国城矿业,"Guocheng Mining CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000690,宝新能源,"Guangdong Baolihua New Energy Stock Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000712,锦龙股份,Guangdong Golden Dragon Development Inc.,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000719,中原传媒,Central China Land Media Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000727,冠捷科技,"TPV Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000737,北方铜业,"NORTH COPPER (SHANXI) CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000756,新华制药,Shandong Xinhua Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000758,中色股份,China Nonferrous Metal Industry's Foreign Engineering & Construction Corp,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000761,本钢板材,Bengang Steel Plates Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000762,西藏矿业,Tibet Mineral Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000766,通化金马,Tonghua Golden-Horse Pharmaceutical Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000767,晋控电力,"Jinneng Holding Shanxi Electric Power Co., LTD.",深圳证券交易所,Shenzhen Stock Exchange
